ZIP_CO,ZIP3,CITYNM,TOWNNM,ROADNM
100001,100,臺北市,中正區,永綏街
100003,100,臺北市,中正區,沅陵街
100004,100,臺北市,中正區,重慶南路一段
100005,100,臺北市,中正區,中華路一段
100006,100,臺北市,中正區,中華路一段
100007,100,臺北市,中正區,忠孝西路一段
100008,100,臺北市,中正區,中山南路
100009,100,臺北市,中正區,中山北路一段
100010,100,臺北市,中正區,忠孝東路二段
100011,100,臺北市,中正區,延平南路
100012,100,臺北市,中正區,中山南路
100013,100,臺北市,中正區,八德路一段
100014,100,臺北市,中正區,仁愛路二段
100015,100,臺北市,中正區,信義路二段
100016,100,臺北市,中正區,信義路二段
100017,100,臺北市,中正區,仁愛路二段
100018,100,臺北市,中正區,仁愛路二段
100019,100,臺北市,中正區,仁愛路一段
100020,100,臺北市,中正區,仁愛路二段
100022,100,臺北市,中正區,杭州南路一段
100023,100,臺北市,中正區,杭州南路一段
100024,100,臺北市,中正區,忠孝東路一段
100025,100,臺北市,中正區,仁愛路一段
100026,100,臺北市,中正區,丹陽街
100027,100,臺北市,中正區,和平西路一段
100028,100,臺北市,中正區,和平西路一段
100029,100,臺北市,中正區,金華街
100030,100,臺北市,中正區,杭州南路二段
100031,100,臺北市,中正區,林森南路
100032,100,臺北市,中正區,辛亥路一段
100033,100,臺北市,中正區,金門街
100034,100,臺北市,中正區,金門街
100035,100,臺北市,中正區,南昌路一段
100037,100,臺北市,中正區,同安街
100038,100,臺北市,中正區,同安街
100039,100,臺北市,中正區,牯嶺街
100040,100,臺北市,中正區,南昌路二段
100041,100,臺北市,中正區,晉江街
100043,100,臺北市,中正區,水源路
100045,100,臺北市,中正區,師大路
100046,100,臺北市,中正區,汀州路三段
100047,100,臺北市,中正區,永春街
100048,100,臺北市,中正區,汀州路三段
100049,100,臺北市,中正區,汀州路二段
100050,100,臺北市,中正區,永春街
100051,100,臺北市,中正區,南海路
100052,100,臺北市,中正區,南海路
100053,100,臺北市,中正區,三元街
100054,100,臺北市,中正區,重慶南路三段
100055,100,臺北市,中正區,南昌路一段
100056,100,臺北市,中正區,牯嶺街
100057,100,臺北市,中正區,延平南路
